user_id,nama,kota,paket_langganan
U00001,Pelanggan_1,Medan,Basic
U00002,Pelanggan_2,Bandung,Pro
U00003,Pelanggan_3,Medan,Basic
U00004,Pelanggan_4,Jakarta,Pro
U00005,Pelanggan_5,Bandung,Premium
U00006,Pelanggan_6,Jakarta,Premium
U00007,Pelanggan_7,Surabaya,Pro
U00008,Pelanggan_8,Surabaya,Premium
U00009,Pelanggan_9,Jakarta,Pro
U00010,Pelanggan_10,Medan,Premium
U00011,Pelanggan_11,Bandung,Pro
U00012,Pelanggan_12,Medan,Premium
U00013,Pelanggan_13,Makassar,Basic
U00014,Pelanggan_14,Bandung,Pro
U00015,Pelanggan_15,Jakarta,Pro
U00016,Pelanggan_16,Surabaya,Premium
U00017,Pelanggan_17,Makassar,Basic
U00018,Pelanggan_18,Makassar,Pro
U00019,Pelanggan_19,Medan,Premium
U00020,Pelanggan_20,Bandung,Premium
U00021,Pelanggan_21,Makassar,Pro
U00022,Pelanggan_22,Surabaya,Basic
U00023,Pelanggan_23,Medan,Premium
U00024,Pelanggan_24,Medan,Basic
U00025,Pelanggan_25,Medan,Pro
U00026,Pelanggan_26,Bandung,Pro
U00027,Pelanggan_27,Jakarta,Basic
U00028,Pelanggan_28,Jakarta,Basic
U00029,Pelanggan_29,Surabaya,Pro
U00030,Pelanggan_30,Surabaya,Pro
U00031,Pelanggan_31,Bandung,Basic
U00032,Pelanggan_32,Surabaya,Premium
U00033,Pelanggan_33,Bandung,Pro
U00034,Pelanggan_34,Bandung,Pro
U00035,Pelanggan_35,Bandung,Premium
U00036,Pelanggan_36,Medan,Basic
U00037,Pelanggan_37,Bandung,Pro
U00038,Pelanggan_38,Surabaya,Basic
U00039,Pelanggan_39,Medan,Pro
U00040,Pelanggan_40,Bandung,Pro
U00041,Pelanggan_41,Bandung,Pro
U00042,Pelanggan_42,Medan,Basic
U00043,Pelanggan_43,Bandung,Basic
U00044,Pelanggan_44,Medan,Premium
U00045,Pelanggan_45,Surabaya,Basic
U00046,Pelanggan_46,Jakarta,Basic
U00047,Pelanggan_47,Surabaya,Pro
U00048,Pelanggan_48,Bandung,Premium
U00049,Pelanggan_49,Surabaya,Pro
U00050,Pelanggan_50,Jakarta,Premium
U00051,Pelanggan_51,Jakarta,Basic
U00052,Pelanggan_52,Bandung,Premium
U00053,Pelanggan_53,Makassar,Pro
U00054,Pelanggan_54,Jakarta,Pro
U00055,Pelanggan_55,Medan,Premium
U00056,Pelanggan_56,Jakarta,Basic
U00057,Pelanggan_57,Surabaya,Premium
U00058,Pelanggan_58,Jakarta,Premium
U00059,Pelanggan_59,Surabaya,Premium
U00060,Pelanggan_60,Jakarta,Basic
U00061,Pelanggan_61,Makassar,Basic
U00062,Pelanggan_62,Jakarta,Basic
U00063,Pelanggan_63,Surabaya,Basic
U00064,Pelanggan_64,Jakarta,Pro
U00065,Pelanggan_65,Jakarta,Premium
U00066,Pelanggan_66,Surabaya,Pro
U00067,Pelanggan_67,Medan,Basic
U00068,Pelanggan_68,Surabaya,Basic
U00069,Pelanggan_69,Jakarta,Premium
U00070,Pelanggan_70,Makassar,Pro
U00071,Pelanggan_71,Makassar,Premium
U00072,Pelanggan_72,Makassar,Basic
U00073,Pelanggan_73,Makassar,Premium
U00074,Pelanggan_74,Surabaya,Premium
U00075,Pelanggan_75,Medan,Pro
U00076,Pelanggan_76,Surabaya,Basic
U00077,Pelanggan_77,Makassar,Basic
U00078,Pelanggan_78,Jakarta,Basic
U00079,Pelanggan_79,Bandung,Premium
U00080,Pelanggan_80,Surabaya,Premium
U00081,Pelanggan_81,Surabaya,Basic
U00082,Pelanggan_82,Medan,Premium
U00083,Pelanggan_83,Makassar,Basic
U00084,Pelanggan_84,Jakarta,Basic
U00085,Pelanggan_85,Bandung,Premium
U00086,Pelanggan_86,Makassar,Pro
U00087,Pelanggan_87,Bandung,Basic
U00088,Pelanggan_88,Jakarta,Premium
U00089,Pelanggan_89,Medan,Premium
U00090,Pelanggan_90,Surabaya,Basic
U00091,Pelanggan_91,Makassar,Premium
U00092,Pelanggan_92,Makassar,Pro
U00093,Pelanggan_93,Makassar,Premium
U00094,Pelanggan_94,Bandung,Basic
U00095,Pelanggan_95,Medan,Premium
U00096,Pelanggan_96,Makassar,Premium
U00097,Pelanggan_97,Bandung,Pro
U00098,Pelanggan_98,Bandung,Pro
U00099,Pelanggan_99,Bandung,Pro
U00100,Pelanggan_100,Jakarta,Pro
U00101,Pelanggan_101,Surabaya,Pro
U00102,Pelanggan_102,Jakarta,Premium
U00103,Pelanggan_103,Bandung,Pro
U00104,Pelanggan_104,Makassar,Basic
U00105,Pelanggan_105,Bandung,Pro
U00106,Pelanggan_106,Medan,Basic
